date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:58	88757/88757	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2012:32:57%20GMT	https://thomasdigital.com/industry/hospitality-website-design	C:/My%20Web%20Sites/vin12/thomasdigital.com/industry/hospitality-website-design.html	(from )
18:02:59	185/185	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Nov%202022%2012:32:58%20GMT	https://thomasdigital.com/robots.txt		(from )
18:02:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Nov%202022%2012:32:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/vin12/www.googletagmanager.com/gtm.15445.delayed	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:00	129312/129312	---MC-	200	added ('OK')	application/javascript	date:Wed,%2009%20Nov%202022%2012:32:59%20GMT	https://www.googleoptimize.com/optimize.js?id=GTM-MSPG4FQ	C:/My%20Web%20Sites/vin12/www.googleoptimize.com/optimize70fe.js	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:00	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js?ver=1	C:/My%20Web%20Sites/vin12/www.google-analytics.com/analytics68b3.js	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:01	400820/400820	---MCZ	200	added ('OK')	text/css	etag:W/%22636894d0-61db4%22	https://thomasdigital.com/wp-content/cache/autoptimize/css/autoptimize_9679041754ef554f127cdd4d4c88c997.css	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/cache/autoptimize/css/autoptimize_9679041754ef554f127cdd4d4c88c997.css	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:01	89684/89684	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263688d81-15e54%22	https://thomasdigital.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:01	2551/2551	---M--	200	added ('OK')	image/png	etag:%22621e318e-ae4%22	https://thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/apple-touch-icon.png	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:02	928/928	---M--	200	added ('OK')	image/png	etag:%22621e318e-485%22	https://thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/favicon-32x32.png	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:02	813/813	---M--	200	added ('OK')	image/png	etag:%22621e318e-32d%22	https://thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/themes/TD_3.0/images/favicon/favicon-16x16.png	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:04	409994/409994	---M--	200	added ('OK')	image/jpeg	etag:%22621e3189-66415%22	https://thomasdigital.com/wp-content/uploads/2021/04/12.jpg	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/uploads/2021/04/12.jpg	(from https://thomasdigital.com/industry/hospitality-website-design)
18:03:04	183820/183820	---M--	200	added ('OK')	image/jpeg	etag:%22621e318c-2eadd%22	https://thomasdigital.com/wp-content/uploads/2020/07/Oars.jpg	C:/My%20Web%20Sites/vin12/thomasdigital.com/wp-content/uploads/2020/07/Oars.jpg	(from https://thomasdigital.com/industry/hospitality-website-design)
